  + Number of params: 9.11M
0 optim: 5e-05
epoch 000 batch 350, dist_emloss:1.8643778562545776, dist_l2loss:2.330475330352783, intensity_loss:1.1062252521514893, rgb_loss:1.0901728868484497, ambient_loss:0.0009622929501347244
epoch 000 batch 360, dist_emloss:2.7914857864379883, dist_l2loss:3.489358425140381, intensity_loss:0.243824765086174, rgb_loss:1.0266647338867188, ambient_loss:0.0013020285405218601
epoch 000 batch 370, dist_emloss:2.6802597045898438, dist_l2loss:3.350325584411621, intensity_loss:0.5357211828231812, rgb_loss:1.219205617904663, ambient_loss:0.0009893020614981651
epoch 000 batch 380, dist_emloss:2.9473278522491455, dist_l2loss:3.6841611862182617, intensity_loss:0.47059279680252075, rgb_loss:0.650722324848175, ambient_loss:0.001169397495687008
epoch 000 batch 390, dist_emloss:2.5694379806518555, dist_l2loss:3.2117977142333984, intensity_loss:0.11768132448196411, rgb_loss:0.7469135522842407, ambient_loss:0.0014255295973271132
epoch 000 batch 400, dist_emloss:2.466139316558838, dist_l2loss:3.0826754570007324, intensity_loss:2.315532922744751, rgb_loss:0.8335493803024292, ambient_loss:0.001500080106779933
epoch 000 batch 410, dist_emloss:2.906463861465454, dist_l2loss:3.633077621459961, intensity_loss:0.64201420545578, rgb_loss:1.1417618989944458, ambient_loss:0.0016219948884099722
epoch 000 batch 420, dist_emloss:2.615018844604492, dist_l2loss:3.2687742710113525, intensity_loss:0.09826787561178207, rgb_loss:1.3407725095748901, ambient_loss:0.000887882080860436
epoch 000 batch 430, dist_emloss:2.879335403442383, dist_l2loss:3.599170207977295, intensity_loss:0.22897250950336456, rgb_loss:1.1201955080032349, ambient_loss:0.0010571298189461231
epoch 000 batch 440, dist_emloss:2.3897275924682617, dist_l2loss:2.9871609210968018, intensity_loss:0.3094651699066162, rgb_loss:0.9486773014068604, ambient_loss:0.0007865695515647531
epoch 000 batch 450, dist_emloss:3.1734697818756104, dist_l2loss:3.9668405055999756, intensity_loss:3.2186875343322754, rgb_loss:0.8668252229690552, ambient_loss:0.0027085605543106794
epoch 000 batch 460, dist_emloss:2.5478527545928955, dist_l2loss:3.1848177909851074, intensity_loss:0.5673074126243591, rgb_loss:0.7239837050437927, ambient_loss:0.0011834801407530904
epoch 000 batch 470, dist_emloss:2.8459219932556152, dist_l2loss:3.557404041290283, intensity_loss:0.10530856996774673, rgb_loss:0.8402460217475891, ambient_loss:0.0014502971898764372
epoch 000 batch 480, dist_emloss:2.2059664726257324, dist_l2loss:2.757460355758667, intensity_loss:1.9171043634414673, rgb_loss:1.129321575164795, ambient_loss:0.0024181294720619917
epoch 000 batch 490, dist_emloss:2.6174325942993164, dist_l2loss:3.27179217338562, intensity_loss:0.46886178851127625, rgb_loss:0.5910068154335022, ambient_loss:0.0016328422352671623
epoch 000 batch 500, dist_emloss:2.2913098335266113, dist_l2loss:2.8641297817230225, intensity_loss:1.8799190521240234, rgb_loss:0.3079129755496979, ambient_loss:0.0007487586699426174
saving the latest model
epoch 000 batch 510, dist_emloss:2.0384609699249268, dist_l2loss:2.5480785369873047, intensity_loss:0.840059220790863, rgb_loss:0.2906040847301483, ambient_loss:0.0005483402637764812
epoch 000 batch 520, dist_emloss:3.2606515884399414, dist_l2loss:4.075815677642822, intensity_loss:0.11994533985853195, rgb_loss:0.8165556788444519, ambient_loss:0.0005609462969005108
epoch 000 batch 530, dist_emloss:2.363766670227051, dist_l2loss:2.9547109603881836, intensity_loss:1.3647156953811646, rgb_loss:0.8550978899002075, ambient_loss:0.0019041972700506449
epoch 000 batch 540, dist_emloss:2.991448402404785, dist_l2loss:3.7393112182617188, intensity_loss:1.2036396265029907, rgb_loss:0.32893526554107666, ambient_loss:0.0005511377239599824
epoch 000 batch 550, dist_emloss:3.6455368995666504, dist_l2loss:4.556922912597656, intensity_loss:0.13456085324287415, rgb_loss:0.7841495871543884, ambient_loss:0.0006065790657885373
epoch 000 batch 560, dist_emloss:3.05930495262146, dist_l2loss:3.824132204055786, intensity_loss:0.40148210525512695, rgb_loss:0.8458869457244873, ambient_loss:0.0006504164775833488
epoch 000 batch 570, dist_emloss:2.3919026851654053, dist_l2loss:2.989879608154297, intensity_loss:0.10601667314767838, rgb_loss:0.6836631894111633, ambient_loss:0.0005053385393694043
epoch 000 batch 580, dist_emloss:1.9695206880569458, dist_l2loss:2.4619033336639404, intensity_loss:0.3960181176662445, rgb_loss:0.2987387478351593, ambient_loss:0.0005135051906108856
epoch 000 batch 590, dist_emloss:2.6405956745147705, dist_l2loss:3.300745725631714, intensity_loss:0.3097999691963196, rgb_loss:0.8101140856742859, ambient_loss:0.0015803677961230278
epoch 000 batch 600, dist_emloss:4.005438327789307, dist_l2loss:5.006796836853027, intensity_loss:0.9876183867454529, rgb_loss:0.5069360136985779, ambient_loss:0.0009096983121708035
epoch 000 batch 610, dist_emloss:3.1419601440429688, dist_l2loss:3.9274535179138184, intensity_loss:0.25602445006370544, rgb_loss:0.40101251006126404, ambient_loss:0.0005450436729006469
epoch 000 batch 620, dist_emloss:2.644934892654419, dist_l2loss:3.3061695098876953, intensity_loss:0.4865129590034485, rgb_loss:0.47526609897613525, ambient_loss:0.0012892347294837236
epoch 000 batch 630, dist_emloss:2.1843385696411133, dist_l2loss:2.730424165725708, intensity_loss:0.2741139233112335, rgb_loss:0.7524728178977966, ambient_loss:0.0008941976120695472
epoch 000 batch 640, dist_emloss:2.4082212448120117, dist_l2loss:3.010277509689331, intensity_loss:1.8418388366699219, rgb_loss:0.6335360407829285, ambient_loss:0.0006862857844680548
epoch 000 batch 650, dist_emloss:2.2528865337371826, dist_l2loss:2.816110372543335, intensity_loss:0.8468939065933228, rgb_loss:0.4656517803668976, ambient_loss:0.0008241899195127189
epoch 000 batch 660, dist_emloss:2.909343719482422, dist_l2loss:3.6366806030273438, intensity_loss:0.2838957607746124, rgb_loss:1.0379111766815186, ambient_loss:0.0008893368067219853
epoch 000 batch 670, dist_emloss:3.46034836769104, dist_l2loss:4.325440883636475, intensity_loss:0.13580657541751862, rgb_loss:0.8844208121299744, ambient_loss:0.000708061910700053
epoch 000 batch 680, dist_emloss:1.8526699542999268, dist_l2loss:2.3158395290374756, intensity_loss:0.26472240686416626, rgb_loss:0.4396976828575134, ambient_loss:0.0005614410620182753
